,
Integrations,Check for: Unnecessary integrations,,
Integrations,Check for: Incorrect integration permissions,,
Integrations,Check for: Outdated data sync settings,,
Integrations,Check for: Outdated integrations,,
Integrations,Check for: Integration errors in logs,,
Data Management,Section Overview,,
Data Management,Verify data import settings,,
Data Management,Check data export settings,,
Data Management,Review data backup settings,,
Data Management,Ensure data deduplication is set,,
Data Management,Check for: Incorrect data import settings,,
Data Management,Check for: Incorrect data export settings,,
Data Management,Check for: Outdated data backup settings,,
Data Management,Check for: Missing data deduplication,,
Data Management,Check data storage limits (Storage and attachments),,ok ok but email storage is 75% used with Richard Tisdall using 138 with 2nd being 20. Ask what he is doing so different
User Management,Section Overview,,
User Management,Verify user roles,,
User Management,Check user permissions,,
User Management,Review active users,,
User Management,Ensure deactivated users are removed,,
User Management,Check user groups,,
User Management,Check for: Incorrect user roles,,
User Management,Check for: Incorrect user permissions,,
User Management,Check for: Inactive users still active,,
User Management,Check for: Unremoved deactivated users,,
User Management,Check for: Incorrect user groups,,
Security Settings,Section Overview,,Suggest we mandate TFA in One. Can show how to manage it from one console
Security Settings,Verify IP restrictions,,
Security Settings,Check two-factor authentication,,
Security Settings,Review password policies,,
Security Settings,Ensure audit logs are enabled,,
Security Settings,Check data encryption settings,,
Security Settings,Check for: Incorrect IP restrictions,,
Security Settings,Check for: Missing two-factor authentication,,
Security Settings,Check for: Weak password policies,,
Security Settings,Check for: Disabled audit logs,,
Security Settings,Check for: Incorrect data encryption settings,,
Automation,Section Overview,,
Automation,Verify scheduled automations,,
Automation,Check automation triggers,,
Automation,Review automation actions,,
Automation,Ensure automations are up to date,,
Automation,Check automation logs,,
Automation,Check for: Unused scheduled automations,,
Automation,Check for: Outdated automation triggers,,
Automation,Check for: Incorrect automation actions,,
Automation,Check for: Outdated automations,,
Automation,Check for: Errors in automation logs,,
Customisation,Section Overview,,
Customisation,Verify custom views,,
Customisation,Check Field Type usage limit and fields in unused,,
Customisation,Check if correct field type is used for existing fields,,
Customisation,Check if fields can be merged (e.g. check box for customer status instead of dropdown),,
Customisation,check if dropdown value match between modules,,
Customisation,Check custom buttons,,
Customisation,"See if you can see duplication of data in places like Accounts, Deals and Contacts",,
Customisation,Review custom links,,
Customisation,Ensure customisations are up to date,,
Customisation,Check customisation permissions,,
Customisation,Check for: Unused custom views,,
Customisation,Check for: Unused custom buttons,,
Customisation,Check for: Outdated custom links,,
Customisation,Check for: Outdated customizations,,
Customisation,Check for: Incorrect customisation permissions,,
Reports & Dashboards,Section Overview,,
Reports & Dashboards,Verify report settings,,
Reports & Dashboards,Check dashboard layouts,,
Reports & Dashboards,Review report schedules,,
Reports & Dashboards,Ensure reports are up to date,,
Reports & Dashboards,Check report permissions,,
Reports & Dashboards,Check for: Unused report settings,,
Reports & Dashboards,Check for: Incorrect dashboard layouts,,
Reports & Dashboards,Check for: Outdated report schedules,,
Reports & Dashboards,Check for: Outdated reports,,
Reports & Dashboards,Check for: Incorrect report permissions,,
,
Special Custom Section,,,
Zoho Flow,Sucesses and Error,,"Currently for the whole of 2025 it has 1,300 sucesses and 21 falirures with a falirue rate of  1.6%. 2 emails from flow saying about the errors but I can see they were later able to process correctly"
Zoho Sign CRM,Useage,,Last sign doc in CRM may 22 2023 but in sign last was this month and is used. Why are they not using it?
